"Dataset","Site","Leaf ID","Family","Genus","Species","Individual ID","Vein density (mm-1)"
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-34","Grossulariaceae","Ribes","montigenum",1,7.485551023
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-35","Grossulariaceae","Ribes","montigenum",1,9.201048904
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-36","Grossulariaceae","Ribes","montigenum",1,8.677429809
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-37","Grossulariaceae","Ribes","montigenum",2,7.172814531
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-38","Grossulariaceae","Ribes","montigenum",2,8.222828879
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-39","Grossulariaceae","Ribes","montigenum",2,6.525308532
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-40","Grossulariaceae","Ribes","montigenum",3,7.241606863
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-41","Grossulariaceae","Ribes","montigenum",3,7.586338439
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-42","Grossulariaceae","Ribes","montigenum",3,7.255748995
"Temperate (Colorado, USA)","Painter Boy","061710-43","Papaveraceae","Corydalis","caseana",1,6.700043656
"Temperate (Colorado, USA)","Painter Boy","061710-44","Papaveraceae","Corydalis","caseana",1,4.496089462
"Temperate (Colorado, USA)","Painter Boy","061710-45","Papaveraceae","Corydalis","caseana",1,5.785548299
"Temperate (Colorado, USA)","Painter Boy","061710-47","Papaveraceae","Corydalis","caseana",2,7.21203801
"Temperate (Colorado, USA)","Painter Boy","061710-48","Papaveraceae","Corydalis","caseana",2,8.398446199
"Temperate (Colorado, USA)","Painter Boy","061710-49","Papaveraceae","Corydalis","caseana",3,8.872900368
"Temperate (Colorado, USA)","Painter Boy","061710-50","Papaveraceae","Corydalis","caseana",3,8.25531697
"Temperate (Colorado, USA)","Painter Boy","061710-51","Papaveraceae","Corydalis","caseana",3,9.63890344
"Temperate (Colorado, USA)","Painter Boy","061710-61","Gentianaceae","Frasera","speciosa",1,7.174893373
"Temperate (Colorado, USA)","Painter Boy","061710-62","Gentianaceae","Frasera","speciosa",1,5.152615313
"Temperate (Colorado, USA)","Painter Boy","061710-63","Gentianaceae","Frasera","speciosa",1,7.415170013
"Temperate (Colorado, USA)","Painter Boy","061710-64","Gentianaceae","Frasera","speciosa",2,6.038193123
"Temperate (Colorado, USA)","Painter Boy","061710-65","Gentianaceae","Frasera","speciosa",2,7.441491298
"Temperate (Colorado, USA)","Painter Boy","061710-66","Gentianaceae","Frasera","speciosa",2,7.216468911
"Temperate (Colorado, USA)","Painter Boy","061710-67","Gentianaceae","Frasera","speciosa",3,7.837375272
"Temperate (Colorado, USA)","Painter Boy","061710-68","Gentianaceae","Frasera","speciosa",3,7.755294307
"Temperate (Colorado, USA)","Painter Boy","061710-69","Gentianaceae","Frasera","speciosa",3,5.940731125
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-1","Apiaceae","Osmorhiza","occidentalis",1,8.236585183
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-2","Apiaceae","Osmorhiza","occidentalis",1,9.036256278
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-3","Apiaceae","Osmorhiza","occidentalis",1,7.88335683
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-4","Apiaceae","Osmorhiza","occidentalis",2,9.447280095
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-5","Apiaceae","Osmorhiza","occidentalis",2,8.679458927
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-6","Apiaceae","Osmorhiza","occidentalis",2,7.78849954
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-7","Apiaceae","Osmorhiza","occidentalis",3,7.676253436
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-8","Apiaceae","Osmorhiza","occidentalis",3,8.315453316
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-9","Apiaceae","Osmorhiza","occidentalis",3,7.491602406
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-10","Salicaceae","Populus","tremuloides",1,13.30021881
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-11","Salicaceae","Populus","tremuloides",1,12.51951676
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-12","Salicaceae","Populus","tremuloides",1,15.34707295
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-13","Salicaceae","Populus","tremuloides",2,19.18094498
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-14","Salicaceae","Populus","tremuloides",2,15.73677085
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-15","Salicaceae","Populus","tremuloides",2,15.99590083
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-16","Salicaceae","Populus","tremuloides",3,16.67147181
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-17","Salicaceae","Populus","tremuloides",3,15.13438764
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-18","Salicaceae","Populus","tremuloides",3,16.25251853
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-19","Ranunculaceae","Thalictrum","fendleri",1,10.36300382
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-21","Ranunculaceae","Thalictrum","fendleri",1,7.735612894
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-22","Ranunculaceae","Thalictrum","fendleri",2,8.895481759
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-23","Ranunculaceae","Thalictrum","fendleri",2,9.429744591
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-24","Ranunculaceae","Thalictrum","fendleri",2,10.15204952
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-25","Ranunculaceae","Thalictrum","fendleri",3,8.672368539
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-26","Ranunculaceae","Thalictrum","fendleri",3,9.444559208
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-27","Ranunculaceae","Thalictrum","fendleri",3,15.14754772
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-28","Rubiaceae","Galium","septentrional",1,7.256910725
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-29","Rubiaceae","Galium","septentrional",1,6.659876382
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-30","Rubiaceae","Galium","septentrional",1,7.084575577
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-31","Rubiaceae","Galium","septentrional",2,9.89731776
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-32","Rubiaceae","Galium","septentrional",2,7.342878578
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-33","Rubiaceae","Galium","septentrional",2,7.285893169
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-34","Rubiaceae","Galium","septentrional",3,7.716293414
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-35","Rubiaceae","Galium","septentrional",3,7.600345154
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-36","Rubiaceae","Galium","septentrional",3,2.14668448
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-46","Geraniaceae","Geranium","richardsonii",1,5.985601796
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-47","Geraniaceae","Geranium","richardsonii",1,9.24121968
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-49","Geraniaceae","Geranium","richardsonii",2,5.233062852
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-50","Geraniaceae","Geranium","richardsonii",2,6.118109787
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-51","Geraniaceae","Geranium","richardsonii",2,7.423360452
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-52","Geraniaceae","Geranium","richardsonii",3,7.01457282
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-53","Geraniaceae","Geranium","richardsonii",3,7.577574066
"Temperate (Colorado, USA)","Cutoff trail to Judd Falls","061810-54","Geraniaceae","Geranium","richardsonii",3,5.5407223
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-1","Onagraceae","Epilobium","angustifolium",1,8.228768423
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-2","Onagraceae","Epilobium","angustifolium",1,9.874143504
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-3","Onagraceae","Epilobium","angustifolium",1,5.942299511
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-4","Onagraceae","Epilobium","angustifolium",2,7.720961773
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-5","Onagraceae","Epilobium","angustifolium",2,8.915914513
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-6","Onagraceae","Epilobium","angustifolium",2,7.313626676
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-7","Onagraceae","Epilobium","angustifolium",3,13.17960888
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-8","Onagraceae","Epilobium","angustifolium",3,11.33741656
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-9","Onagraceae","Epilobium","angustifolium",3,9.572955425
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-10","Apiaceae","Heracleum","sphondylium",1,2.147736396
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-11","Apiaceae","Heracleum","sphondylium",1,8.652159835
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-12","Apiaceae","Heracleum","sphondylium",1,7.473142399
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-13","Apiaceae","Heracleum","sphondylium",2,7.48199838
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-14","Apiaceae","Heracleum","sphondylium",2,6.413365165
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-15","Apiaceae","Heracleum","sphondylium",2,6.096944139
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-16","Apiaceae","Heracleum","sphondylium",3,10.9727532
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-17","Apiaceae","Heracleum","sphondylium",3,7.787345845
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-18","Apiaceae","Heracleum","sphondylium",3,8.308465126
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-19","Boraginaceae","Mertensia","fusiformis",1,9.562519205
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-20","Boraginaceae","Mertensia","fusiformis",1,7.420246649
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-21","Boraginaceae","Mertensia","fusiformis",1,7.100209815
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-22","Boraginaceae","Mertensia","fusiformis",2,6.67059919
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-23","Boraginaceae","Mertensia","fusiformis",2,4.68710179
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-24","Boraginaceae","Mertensia","fusiformis",2,8.050933516
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-25","Boraginaceae","Mertensia","fusiformis",3,8.587278766
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-26","Boraginaceae","Mertensia","fusiformis",3,6.722559563
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-27","Boraginaceae","Mertensia","fusiformis",3,8.81359133
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-28","Crassulaceae","Sedum","rosea",1,5.751468106
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-29","Crassulaceae","Sedum","rosea",1,4.210570259
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-30","Crassulaceae","Sedum","rosea",1,3.485067468
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-31","Crassulaceae","Sedum","rosea",2,6.535130982
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-32","Crassulaceae","Sedum","rosea",2,5.955415154
"Temperate (Colorado, USA)","Across from Pfeiler home","062210-33","Crassulaceae","Sedum","rosea",2,5.632865762
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-1","Adoxaceae","Sambucus","racemosa",1,9.25915418
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-2","Adoxaceae","Sambucus","racemosa",1,9.043413553
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-3","Adoxaceae","Sambucus","racemosa",1,8.270415014
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-4","Adoxaceae","Sambucus","racemosa",2,7.158290738
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-5","Adoxaceae","Sambucus","racemosa",2,9.274654648
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-6","Adoxaceae","Sambucus","racemosa",2,8.424919679
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-7","Adoxaceae","Sambucus","racemosa",3,6.643559591
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-8","Adoxaceae","Sambucus","racemosa",3,6.357632195
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-9","Adoxaceae","Sambucus","racemosa",3,6.281647933
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-10","Orobanchaceae","Pedicularis","bracteosa",1,6.662415397
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-11","Orobanchaceae","Pedicularis","bracteosa",1,9.663415384
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-12","Orobanchaceae","Pedicularis","bracteosa",1,6.389125372
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-13","Orobanchaceae","Pedicularis","bracteosa",2,9.976676112
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-14","Orobanchaceae","Pedicularis","bracteosa",2,8.452171353
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-15","Orobanchaceae","Pedicularis","bracteosa",2,10.49883617
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-16","Orobanchaceae","Pedicularis","bracteosa",3,7.860339169
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-17","Orobanchaceae","Pedicularis","bracteosa",3,8.712237067
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-18","Orobanchaceae","Pedicularis","bracteosa",3,11.26946982
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-37","Rosaceae","Fragaria","virginiana",1,9.61163885
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-38","Rosaceae","Fragaria","virginiana",1,8.24464358
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-39","Rosaceae","Fragaria","virginiana",1,9.670072686
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-40","Rosaceae","Fragaria","virginiana",2,8.871832654
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-41","Rosaceae","Fragaria","virginiana",2,9.01062772
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-42","Rosaceae","Fragaria","virginiana",2,8.832530675
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-43","Rosaceae","Fragaria","virginiana",3,8.678981206
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-44","Rosaceae","Fragaria","virginiana",3,8.335653499
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-45","Rosaceae","Fragaria","virginiana",3,9.804540158
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-55","Asteraceae","Arnica","cordifolia",1,5.83674803
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-56","Asteraceae","Arnica","cordifolia",1,7.497023729
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-57","Asteraceae","Arnica","cordifolia",1,7.83559879
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-58","Asteraceae","Arnica","cordifolia",2,6.438083646
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-59","Asteraceae","Arnica","cordifolia",2,5.673070811
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-60","Asteraceae","Arnica","cordifolia",2,6.558041671
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-61","Asteraceae","Arnica","cordifolia",3,6.077952634
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-62","Asteraceae","Arnica","cordifolia",3,5.203248687
"Temperate (Colorado, USA)","Stream near billy barrs house","062410-63","Asteraceae","Arnica","cordifolia",3,5.992165342
"Temperate (Colorado, USA)","Gothic townsite","062710-1","Polemoniaceae","Polemonium","foliosissimum",1,5.221246856
"Temperate (Colorado, USA)","Gothic townsite","062710-2","Polemoniaceae","Polemonium","foliosissimum",1,4.821940461
"Temperate (Colorado, USA)","Gothic townsite","062710-3","Polemoniaceae","Polemonium","foliosissimum",1,5.856004553
"Temperate (Colorado, USA)","Gothic townsite","062710-4","Polemoniaceae","Polemonium","foliosissimum",2,5.596468009
"Temperate (Colorado, USA)","Gothic townsite","062710-5","Polemoniaceae","Polemonium","foliosissimum",2,5.697320907
"Temperate (Colorado, USA)","Gothic townsite","062710-6","Polemoniaceae","Polemonium","foliosissimum",2,6.420337006
"Temperate (Colorado, USA)","Gothic townsite","062710-7","Polemoniaceae","Polemonium","foliosissimum",3,7.380458037
"Temperate (Colorado, USA)","Gothic townsite","062710-8","Polemoniaceae","Polemonium","foliosissimum",3,5.340029769
"Temperate (Colorado, USA)","Gothic townsite","062710-9","Polemoniaceae","Polemonium","foliosissimum",3,5.822577257
"Temperate (Colorado, USA)","Gothic townsite","062710-10","Berberidaceae","Mahonia","repens",1,7.553411208
"Temperate (Colorado, USA)","Gothic townsite","062710-11","Berberidaceae","Mahonia","repens",1,8.20376277
"Temperate (Colorado, USA)","Gothic townsite","062710-12","Berberidaceae","Mahonia","repens",1,7.073318001
"Temperate (Colorado, USA)","Gothic townsite","062710-13","Berberidaceae","Mahonia","repens",2,7.804470918
"Temperate (Colorado, USA)","Gothic townsite","062710-14","Berberidaceae","Mahonia","repens",2,7.52862627
"Temperate (Colorado, USA)","Gothic townsite","062710-15","Berberidaceae","Mahonia","repens",2,7.728676665
"Temperate (Colorado, USA)","Gothic townsite","062710-16","Berberidaceae","Mahonia","repens",3,7.008514621
"Temperate (Colorado, USA)","Gothic townsite","062710-17","Berberidaceae","Mahonia","repens",3,7.401640115
"Temperate (Colorado, USA)","Gothic townsite","062710-18","Berberidaceae","Mahonia","repens",3,7.721442864
"Temperate (Colorado, USA)","Gothic townsite","062710-19","Rosaceae","Rubus","idaeus",1,7.221696535
"Temperate (Colorado, USA)","Gothic townsite","062710-20","Rosaceae","Rubus","idaeus",1,8.031018892
"Temperate (Colorado, USA)","Gothic townsite","062710-21","Rosaceae","Rubus","idaeus",1,9.101906538
"Temperate (Colorado, USA)","Gothic townsite","062710-22","Rosaceae","Rubus","idaeus",2,7.803139013
"Temperate (Colorado, USA)","Gothic townsite","062710-23","Rosaceae","Rubus","idaeus",2,9.542562692
"Temperate (Colorado, USA)","Gothic townsite","062710-24","Rosaceae","Rubus","idaeus",2,7.677138592
"Temperate (Colorado, USA)","Gothic townsite","062710-25","Rosaceae","Rubus","idaeus",3,7.237262809
"Temperate (Colorado, USA)","Gothic townsite","062710-26","Rosaceae","Rubus","idaeus",3,8.185668191
"Temperate (Colorado, USA)","Gothic townsite","062710-27","Rosaceae","Rubus","idaeus",3,9.673998707
"Temperate (Colorado, USA)","Gothic road north","062710-37","Celastraceae","Paxistima","myrsinites",1,5.646583387
"Temperate (Colorado, USA)","Gothic road north","062710-38","Celastraceae","Paxistima","myrsinites",1,5.197547537
"Temperate (Colorado, USA)","Gothic road north","062710-39","Celastraceae","Paxistima","myrsinites",1,4.691242462
"Temperate (Colorado, USA)","Gothic road north","062710-40","Celastraceae","Paxistima","myrsinites",2,5.046649752
"Temperate (Colorado, USA)","Gothic road north","062710-41","Celastraceae","Paxistima","myrsinites",2,5.196997669
"Temperate (Colorado, USA)","Gothic road north","062710-42","Celastraceae","Paxistima","myrsinites",2,10.97038684
"Temperate (Colorado, USA)","Gothic road north","062710-43","Celastraceae","Paxistima","myrsinites",3,4.697861236
"Temperate (Colorado, USA)","Gothic road north","062710-44","Celastraceae","Paxistima","myrsinites",3,4.779175967
"Temperate (Colorado, USA)","Gothic road north","062710-45","Celastraceae","Paxistima","myrsinites",3,4.839369338
"Temperate (Colorado, USA)","Gothic road north","062710-46","Caprifoliaceae","Loniceria","involucrata",1,7.296212794
"Temperate (Colorado, USA)","Gothic road north","062710-47","Caprifoliaceae","Loniceria","involucrata",1,6.662676511
"Temperate (Colorado, USA)","Gothic road north","062710-48","Caprifoliaceae","Loniceria","involucrata",1,8.916687271
"Temperate (Colorado, USA)","Gothic road north","062710-49","Caprifoliaceae","Loniceria","involucrata",2,9.048531681
"Temperate (Colorado, USA)","Gothic road north","062710-50","Caprifoliaceae","Loniceria","involucrata",2,5.227007233
"Temperate (Colorado, USA)","Gothic road north","062710-51","Caprifoliaceae","Loniceria","involucrata",2,8.637062842
"Temperate (Colorado, USA)","Gothic road north","062710-52","Caprifoliaceae","Loniceria","involucrata",3,7.461726311
"Temperate (Colorado, USA)","Gothic road north","062710-53","Caprifoliaceae","Loniceria","involucrata",3,7.93823949
"Temperate (Colorado, USA)","Gothic road north","062710-54","Caprifoliaceae","Loniceria","involucrata",3,7.675369539
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-1","Asteraceae","Artemisia","frigida",1,6.488479735
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-2","Asteraceae","Artemisia","frigida",1,9.259266422
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-3","Asteraceae","Artemisia","frigida",1,7.479877171
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-4","Asteraceae","Artemisia","frigida",2,5.752498296
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-5","Asteraceae","Artemisia","frigida",2,9.242763326
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-6","Asteraceae","Artemisia","frigida",2,7.423822895
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-7","Asteraceae","Artemisia","frigida",3,5.955023468
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-8","Asteraceae","Artemisia","frigida",3,9.607904383
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-9","Asteraceae","Artemisia","frigida",3,7.613744713
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-10","Fabaceae","Trifolium","repens",1,11.39364846
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-11","Fabaceae","Trifolium","repens",1,9.275979597
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-12","Fabaceae","Trifolium","repens",1,11.25636863
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-13","Fabaceae","Trifolium","repens",2,9.558553271
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-14","Fabaceae","Trifolium","repens",2,9.717767639
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-15","Fabaceae","Trifolium","repens",2,9.894116793
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-16","Fabaceae","Trifolium","repens",3,9.718408222
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-17","Fabaceae","Trifolium","repens",3,9.601825633
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-18","Fabaceae","Trifolium","repens",3,8.877555876
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-19","Onagraceae","Epilobium","angustifolium",1,8.462535829
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-20","Onagraceae","Epilobium","angustifolium",1,7.699537473
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-21","Onagraceae","Epilobium","angustifolium",1,6.700067517
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-22","Onagraceae","Epilobium","angustifolium",2,8.855590724
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-23","Onagraceae","Epilobium","angustifolium",2,7.85469536
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-24","Onagraceae","Epilobium","angustifolium",2,7.249302394
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-25","Onagraceae","Epilobium","angustifolium",3,8.01545412
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-26","Onagraceae","Epilobium","angustifolium",3,7.413896407
"Temperate (Colorado, USA)","Copper Creek trailhead road","063010-27","Onagraceae","Epilobium","angustifolium",3,6.954716051
"Temperate (Colorado, USA)","Painter Boy","070110-1","Polygonaceae","Rumex","densiflorus",1,6.78814817
"Temperate (Colorado, USA)","Painter Boy","070110-2","Polygonaceae","Rumex","densiflorus",1,6.398260063
"Temperate (Colorado, USA)","Painter Boy","070110-3","Polygonaceae","Rumex","densiflorus",1,8.194911364
"Temperate (Colorado, USA)","Painter Boy","070110-4","Polygonaceae","Rumex","densiflorus",2,7.244546721
"Temperate (Colorado, USA)","Painter Boy","070110-5","Polygonaceae","Rumex","densiflorus",2,8.292992853
"Temperate (Colorado, USA)","Painter Boy","070110-6","Polygonaceae","Rumex","densiflorus",2,6.675093348
"Temperate (Colorado, USA)","Painter Boy","070110-7","Polygonaceae","Rumex","densiflorus",3,7.12942996
"Temperate (Colorado, USA)","Painter Boy","070110-8","Polygonaceae","Rumex","densiflorus",3,6.935359844
"Temperate (Colorado, USA)","Painter Boy","070110-9","Polygonaceae","Rumex","densiflorus",3,7.519098613
"Temperate (Colorado, USA)","Painter Boy","070110-10","Gentianaceae","Gentiana","affinis",1,4.560660236
"Temperate (Colorado, USA)","Painter Boy","070110-11","Gentianaceae","Gentiana","affinis",1,8.610848737
"Temperate (Colorado, USA)","Painter Boy","070110-12","Gentianaceae","Gentiana","affinis",1,6.551916358
"Temperate (Colorado, USA)","Painter Boy","070110-13","Gentianaceae","Gentiana","affinis",2,7.866490545
"Temperate (Colorado, USA)","Painter Boy","070110-14","Gentianaceae","Gentiana","affinis",2,6.998739534
"Temperate (Colorado, USA)","Painter Boy","070110-15","Gentianaceae","Gentiana","affinis",2,6.461375998
"Temperate (Colorado, USA)","Painter Boy","070110-16","Gentianaceae","Gentiana","affinis",3,6.620916564
"Temperate (Colorado, USA)","Painter Boy","070110-17","Gentianaceae","Gentiana","affinis",3,7.179493076
"Temperate (Colorado, USA)","Painter Boy","070110-18","Gentianaceae","Gentiana","affinis",3,7.146380918
"Temperate (Colorado, USA)","Painter Boy","070110-19","Asteraceae","Erigeron","sp2",1,7.944864262
"Temperate (Colorado, USA)","Painter Boy","070110-21","Asteraceae","Erigeron","sp2",1,7.318415592
"Temperate (Colorado, USA)","Painter Boy","070110-27","Asteraceae","Erigeron","sp2",3,7.408312081
"Temperate (Colorado, USA)","Painter Boy","070110-28","Asteraceae","Heterotheca","villosa",1,10.1369278
"Temperate (Colorado, USA)","Painter Boy","070110-29","Asteraceae","Heterotheca","villosa",1,10.40775569
"Temperate (Colorado, USA)","Painter Boy","070110-30","Asteraceae","Heterotheca","villosa",1,7.034663945
"Temperate (Colorado, USA)","Painter Boy","070110-31","Asteraceae","Heterotheca","villosa",2,10.6898269
"Temperate (Colorado, USA)","Painter Boy","070110-32","Asteraceae","Heterotheca","villosa",2,9.710719469
"Temperate (Colorado, USA)","Painter Boy","070110-33","Asteraceae","Heterotheca","villosa",2,9.357403649
"Temperate (Colorado, USA)","Painter Boy","070110-34","Asteraceae","Heterotheca","villosa",3,10.52996858
"Temperate (Colorado, USA)","Painter Boy","070110-35","Asteraceae","Heterotheca","villosa",3,10.31721945
"Temperate (Colorado, USA)","Painter Boy","070110-36","Asteraceae","Heterotheca","villosa",3,7.309582966
"Temperate (Colorado, USA)","Almont campground","071010-1","Rosaceae","Rosa","acicularis",1,19.00849663
"Temperate (Colorado, USA)","Almont campground","071010-2","Rosaceae","Rosa","acicularis",1,16.23617553
"Temperate (Colorado, USA)","Almont campground","071010-3","Rosaceae","Rosa","acicularis",1,19.25709636
"Temperate (Colorado, USA)","Almont campground","071010-4","Rosaceae","Rosa","acicularis",2,14.56231456
